SMILES;MW;LogP;HBD;HBA;TPSA;RotatableBonds;Lipinski;Veber;PAINS;Brenk;Status
C/C(C1=CC=CC=C1)=N/NC(OC2=CC=CC=C2)=O;254.289;3.199200000000002;1.0;3.0;50.690000000000005;3.0;True;True;False;True;
O=C(OC1=CC=C(CC)C=C1)NN2CC3=CC=CC=C3CC2;296.3700000000001;3.3107000000000024;1.0;3.0;41.57;3.0;True;True;False;False;
O=C(OC1=C(C)C=CC=C1)NN2CC3=CC=CC=C3CC2;282.3430000000001;3.056720000000001;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC1=C(Cl)C=CC=C1Cl)NN2CC3=CC=CC=C3CC2;337.20600000000013;4.055100000000002;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC1=CC(C)=CC=C1)NN2CC3=CC=CC=C3CC2;282.3430000000001;3.056720000000001;1.0;3.0;41.57;2.0;True;True;False;False;
CC(CC1=C(C(C2=CC=C(Cl)C=C2)=O)SC(S(=O)(C)=O)=C31)(C)CC3=O;396.9170000000002;4.191100000000003;0.0;5.0;68.28;3.0;True;True;False;False;
CN1CCC=C(C2=NSN=C2SCCCCCl)C1;303.884;3.3681000000000028;0.0;5.0;29.020000000000003;6.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCC=C)C1;267.423;2.925200000000001;0.0;5.0;29.020000000000003;5.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCCC=C)C1;281.45000000000005;3.3153000000000024;0.0;5.0;29.020000000000003;6.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCCC#N)C1;280.42199999999997;2.6528800000000006;0.0;6.0;52.81;5.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCl)C1;261.803;2.5454000000000008;0.0;5.0;29.020000000000003;3.0;True;True;False;True;
CCCCCCSC1=NSN=C1C2CN3CC2CCC3;311.52000000000015;4.019700000000004;0.0;5.0;29.020000000000003;7.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCCCCCCCO)C1;341.54600000000016;3.682000000000002;1.0;6.0;49.25;10.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCCCC#N)C1;294.449;3.042980000000002;0.0;6.0;52.81;6.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCCC3=CC=CC=C3)C1;331.51;3.981900000000003;0.0;5.0;29.020000000000003;6.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCOCC)C1;285.43800000000005;2.3856;0.0;6.0;38.25;6.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCC/C=C\CC)C1;295.4770000000001;3.7054000000000027;0.0;5.0;29.020000000000003;6.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCCCCCC#N)C1;308.47600000000006;3.433080000000002;0.0;6.0;52.81;7.0;True;True;False;True;
CN1CCC=C(C2=NSN=C2SCC(CC)CC)C1;297.49300000000005;3.785300000000003;0.0;5.0;29.020000000000003;6.0;True;True;False;False;
CN1CCC=C(C2=NSN=C2SCCC3OCCO3)C1;313.4480000000001;2.1121;0.0;7.0;47.480000000000004;5.0;True;True;False;False;
CN1CCC=C(C2=NSN=C2SCC3CCCCC3)C1;309.50400000000013;3.929400000000003;0.0;5.0;29.020000000000003;4.0;True;True;False;False;
CN1CCC=C(C2=NSN=C2SCC3CC3)C1;267.423;2.759100000000001;0.0;5.0;29.020000000000003;4.0;True;True;False;False;
C=CCCCCSC1=NSN=C1C2CN3CC2CCC3;309.50400000000013;3.7957000000000027;0.0;5.0;29.020000000000003;7.0;True;True;False;True;
